"","SEMAINE","ENFANT","Min","Max","Moyenne"
"1","P1","A",0,1,0.25
"2","P1","B",0,1,0.166666666666667
"3","P1","C",0,1,0.0833333333333333
"4","P1","D",0,0,0
"5","P1","E",0,1,0.25
"6","P1","F",0,0,0
"7","P1","G",0,0,0
"8","P1","H",0,1,0.0833333333333333
"9","P2","A",0,1,0.166666666666667
"10","P2","B",0,1,0.166666666666667
"11","P2","C",0,1,0.166666666666667
"12","P2","D",0,0,0
"13","P2","E",0,1,0.0833333333333333
"14","P2","F",0,1,0.166666666666667
"15","P2","G",0,1,0.0833333333333333
"16","P2","H",0,0,0
